"row_number","city","vacc_speed","bandwidth"
"1","Agadez",1.5e-05,1104
"2","Agadez",3.2e-05,517
"3","Agadez",4.9e-05,338
"4","Agadez",6.6e-05,251
"5","Agadez",8.3e-05,199
"6","Agadez",1e-04,165
"7","Maradi",1.5e-05,2142
"8","Maradi",3.2e-05,1004
"9","Maradi",4.9e-05,656
"10","Maradi",6.6e-05,487
"11","Maradi",8.3e-05,387
"12","Maradi",1e-04,321
"13","Niamey",1.5e-05,2481
"14","Niamey",3.2e-05,1163
"15","Niamey",4.9e-05,759
"16","Niamey",6.6e-05,564
"17","Niamey",8.3e-05,448
"18","Niamey",1e-04,372
"19","Zinder",1.5e-05,1823
"20","Zinder",3.2e-05,854
"21","Zinder",4.9e-05,558
"22","Zinder",6.6e-05,414
"23","Zinder",8.3e-05,329
"24","Zinder",1e-04,273
