"loglik","rw_value","city"
-1256.01454485354,2e-04,"Agadez"
-2032.16478508102,6e-04,"Agadez"
-1229.78776345314,0.001,"Agadez"
-3006.47803873155,0.0014,"Agadez"
-4539.76761415331,0.0018,"Agadez"
-5135.54992124705,0.0022,"Agadez"
-3702.59129579294,0.0026,"Agadez"
-5017.78459745157,0.003,"Agadez"
-4795.51727632484,0.0034,"Agadez"
-4955.03440699312,0.0038,"Agadez"
-4881.90893496044,0.0042,"Agadez"
-4929.61886716376,0.0046,"Agadez"
-5302.58387344185,0.005,"Agadez"
-4865.39907059847,0.0054,"Agadez"
-4342.72984724275,0.0058,"Agadez"
-5672.61869491523,0.0062,"Agadez"
-5704.56594306738,0.0066,"Agadez"
-4681.64798992694,0.007,"Agadez"
-6008.5917950522,0.0074,"Agadez"
-5449.61874731004,0.0078,"Agadez"
-6041.66243033866,0.0082,"Agadez"
-5444.66701413253,0.0086,"Agadez"
-5612.65530373805,0.009,"Agadez"
-5565.23341663208,0.0094,"Agadez"
-6040.71006300394,0.0098,"Agadez"
-1823.6565022375,2e-04,"Maradi"
-1928.15282346935,6e-04,"Maradi"
-2972.89517314131,0.001,"Maradi"
-6452.49115371208,0.0014,"Maradi"
-8806.59840394696,0.0018,"Maradi"
-5971.96130989531,0.0022,"Maradi"
-5408.87354858676,0.0026,"Maradi"
-4001.47042387295,0.003,"Maradi"
-2811.44890957593,0.0034,"Maradi"
-7291.71947276159,0.0038,"Maradi"
-6189.49806423633,0.0042,"Maradi"
-9914.5993218687,0.0046,"Maradi"
-10355.521556433,0.005,"Maradi"
-6976.08485474962,0.0054,"Maradi"
-8135.8861095821,0.0058,"Maradi"
-6964.81184709092,0.0062,"Maradi"
-11359.1194815125,0.0066,"Maradi"
-9434.06786119966,0.007,"Maradi"
-10596.2880463151,0.0074,"Maradi"
-5841.6843064081,0.0078,"Maradi"
-9623.27143944166,0.0082,"Maradi"
-11216.0823885603,0.0086,"Maradi"
-7857.0926831013,0.009,"Maradi"
-8778.85565487582,0.0094,"Maradi"
-11329.7249664021,0.0098,"Maradi"
-1596.62999111448,2e-04,"Niamey"
-1746.54472383225,6e-04,"Niamey"
-2253.78747706436,0.001,"Niamey"
-5283.63263892458,0.0014,"Niamey"
-2868.43999042513,0.0018,"Niamey"
-5081.55213268834,0.0022,"Niamey"
-7025.03495612138,0.0026,"Niamey"
-2364.51293412793,0.003,"Niamey"
-3863.93617677,0.0034,"Niamey"
-6506.90245985196,0.0038,"Niamey"
-6256.11126752275,0.0042,"Niamey"
-6676.99468069472,0.0046,"Niamey"
-6343.24167205592,0.005,"Niamey"
-7292.81989311516,0.0054,"Niamey"
-7390.99942147245,0.0058,"Niamey"
-7668.82959141406,0.0062,"Niamey"
-7548.18873112732,0.0066,"Niamey"
-7535.68499241287,0.007,"Niamey"
-7374.0926245452,0.0074,"Niamey"
-7357.32979084157,0.0078,"Niamey"
-7552.34991507397,0.0082,"Niamey"
-7288.35186340433,0.0086,"Niamey"
-7490.11221240693,0.009,"Niamey"
-7860.93792349405,0.0094,"Niamey"
-7545.29815145066,0.0098,"Niamey"
-1647.03607406927,2e-04,"Zinder"
-1819.92452401533,6e-04,"Zinder"
-2312.95967819012,0.001,"Zinder"
-4053.86644851541,0.0014,"Zinder"
-6230.2620045533,0.0018,"Zinder"
-7525.53641769512,0.0022,"Zinder"
-3109.88169222225,0.0026,"Zinder"
-2885.05084695825,0.003,"Zinder"
-10145.6736128917,0.0034,"Zinder"
-9982.80106285251,0.0038,"Zinder"
-11066.603897496,0.0042,"Zinder"
-9899.404611402,0.0046,"Zinder"
-8041.75649757684,0.005,"Zinder"
-4326.04067807275,0.0054,"Zinder"
-10324.3685524122,0.0058,"Zinder"
-10121.6344950381,0.0062,"Zinder"
-10020.0538918452,0.0066,"Zinder"
-10237.8141064254,0.007,"Zinder"
-9664.02404303767,0.0074,"Zinder"
-9485.0607878916,0.0078,"Zinder"
-9757.54810417314,0.0082,"Zinder"
-10380.3212906358,0.0086,"Zinder"
-9258.08524189051,0.009,"Zinder"
-10559.3097007661,0.0094,"Zinder"
-10771.7601173752,0.0098,"Zinder"
